,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
251,0,32,0,1,11,0,0,-20,50,0,1,0,100,0,0,0,0,0,0,0,0,0,0,93,9,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,2,0,0,0
253,0,0,0,0,0,0,0,4,1,20,0,0,0,0,0,0,1,0,32,0,0,0,0,98,0,3,48,5,0,2,0
254,0,0,100,14,0,0,0,-48,84,1,1,4,0,100,11,0,0,0,0,0,23,42,0,98,9,3,0,0,0,4,1
255,0,100,9,14,13,1,0,-54,100,0,100,0,100,0,0,0,0,1,0,0,0,24,0,95,95,0,0,0,0,0,1
256,0,0,1,1,3,11,0,-14,10,0,0,0,62,0,5,1,7,0,2,1,0,1,0,78,0,0,0,59,0,0,0
257,0,30,1,1,11,0,0,-20,68,0,0,0,100,1,2,0,0,10,0,0,0,0,0,93,8,0,0,0,3,0,1
258,0,17,9,1,0,0,0,-92,98,0,5,0,54,11,0,100,0,2,0,0,3,1,0,39,0,1,0,0,0,0,1
259,0,5,100,1,95,0,0,-43,100,10,12,0,100,100,88,0,0,0,0,0,65,0,0,95,88,2,0,0,99,1,1
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1
261,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1,0,0,1,0,0
262,0,0,0,99,0,0,17,-31,100,0,1,93,0,0,0,0,0,0,100,32,0,99,0,96,0,0,88,0,0,0,0
263,99,0,0,0,0,0,38,54,100,100,1,67,0,1,61,0,38,1,1,1,91,0,0,97,0,6,0,1,57,0,0
264,93,0,0,0,0,0,14,95,100,99,3,84,1,0,0,0,1,0,1,10,2,0,0,68,4,2,15,12,100,7,0
265,0,0,4,0,0,0,14,-20,58,1,92,2,0,5,2,0,0,0,0,0,99,0,0,92,5,0,0,0,0,0,1
266,0,7,0,0,0,0,1,-15,0,0,85,0,0,0,0,0,0,0,1,0,0,0,0,97,0,0,0,0,0,0,0
267,99,0,0,0,0,0,4,99,100,97,0,36,1,1,0,0,0,1,0,0,52,3,0,97,1,5,0,0,57,8,0
268,90,1,0,0,0,0,0,0,100,99,99,1,49,2,98,0,0,0,2,0,3,0,0,97,0,11,0,0,0,0,1
269,0,0,1,0,0,11,86,-14,82,0,82,100,0,0,0,0,0,21,0,0,14,0,0,93,0,3,1,100,0,0,0
